Section,Original Text/Value,Updated Text/Value,Reason,Reviewer Issue,Source,Status
Headings,1.Introduction,1. Introduction,Inconsistent heading capitalization/spacing,R26 Writing - heading case,Critical review.docx,RESOLVED
Headings,3.Proposed Methodology,3. Proposed Methodology,Inconsistent heading capitalization/spacing,R26 Writing - heading case,Critical review.docx,RESOLVED
Headings,4. RESULTS AND DISCUSSION,4. Results and Discussion,Inconsistent heading capitalization/spacing,R26 Writing - heading case,Critical review.docx,RESOLVED
Headings,5. CONCLUSION AND FUTURE WORK,5. Conclusion and Future Work,Inconsistent heading capitalization/spacing,R26 Writing - heading case,Critical review.docx,RESOLVED
Abstract,"Psychoeducational dialogue systems provide psychological information in an accessible form and offer user guidance. However, generic LLMs may fail to adjust their responses to users' emotions, personality characteristics, and individual needs for guidance. In this paper, we introduce PsyAdapt, a personalized LLM-based framework for psychoeducational dialogue generation and evaluation. The proposed framework incorporates emotion detection, personality recognition, user-context modeling, adaptive guidance on support strategies, and retrieval-augmented generation (RAG) to generate personalized and contextually relevant responses. Emotion and personality features are incorporated into the user representation model, and adaptive strategy guidance provides means for response generation according to the detected context. RAG serves as the means for psychoeducational information retrieval to assist response grounding. The proposed framework is evaluated using a number of different system configurations starting from a generic LLM baseline and going to the full PsyAdapt system. Semantic similarity, input relevance, grounding support, response defects, and generation latency are used as the criteria for evaluation. The full PsyAdapt configuration shows a BERTScore-F1 of 0.632, ROUGE-L F1 of 0.105, and input-relevance score of 0.607. Grounding-support score of 0.631 and generation latency of 2.395 seconds are recorded. The comparative analysis of results demonstrates performance variability at the level of configurations according to the different evaluation criteria, revealing the tradeoffs between response quality, grounding support, and computational costs. The reported findings provide empirical grounds for investigating the impact of user-context and adaptive guidance information on personalized psychoeducational dialogue generation.","Psychoeducational dialogue systems provide psychological information in an accessible form and offer user guidance. However, generic LLMs may fail to adjust their responses to users' emotions, personality characteristics, and individual needs for guidance. In this paper, we introduce PsyAdapt, a personalized LLM-based framework for psychoeducational dialogue generation and evaluation. The proposed framework incorporates emotion detection, personality recognition, user-context modeling, adaptive guidance on support strategies, and retrieval-augmented generation (RAG) to generate personalized and contextually relevant responses. Emotion and personality features are incorporated into the user representation model, and adaptive strategy guidance provides means for response generation according to the detected context. RAG serves as the means for psychoeducational information retrieval to assist response grounding. The proposed framework is evaluated using a number of different system configurations starting from a generic LLM baseline and going to the full PsyAdapt system. Semantic similarity, input relevance, grounding support, response defects, and generation latency are used as the criteria for evaluation, together with paired significance tests and bootstrap confidence intervals computed on the 300-item benchmark. The full PsyAdapt configuration shows a BERTScore-F1 of 0.634, ROUGE-L F1 of 0.106, and input-relevance score of 0.609. Grounding-support score of 0.622 and generation latency of 2.3 seconds are recorded. The full configuration is separated from the generic-LLM and standard-RAG baselines by margins that remain significant after Holm correction, whereas its advantage over the retrieval-plus-profiling configuration (0.005 BERTScore-F1) is not statistically significant. The reported findings indicate that retrieval and user profiling account for most of the measured gain, while emotion detection and adaptive strategy guidance mainly reduce automatically detected response defects. All reported metrics are automatic proxies; blinded human and clinical evaluation remains outstanding.",Outdated metrics replaced with verified values; unsupported superiority wording replaced with the statistical outcome; closing sentence states the finding and the absence of human evaluation,"R02 Statistical, R07 Evaluation, R29 Writing","tables/overall_A7.csv, tables/statistical_contrasts_bertscore.csv",RESOLVED
1. Introduction,The full configuration of PsyAdapt has achieved,"Paired significance tests and bootstrap confidence intervals accompany every configuration contrast, and the numerical results are reported in Section 4 rather than restated here.",Paragraph repeated the abstract verbatim including all five numbers; outdated values removed,R24 Writing - abstract duplication; R07 outdated metrics,Critical review.docx,RESOLVED
1. Introduction (contributions),(new content inserted),"We report the accuracy of every trained component, paired significance tests with bootstrap confidence intervals for all configuration contrasts, a generator-swap comparison in which three open-weight LLMs are evaluated inside the identical pipeline, a separate multi-turn experiment for the memory component, and a response-length control analysis, and we state explicitly which claims the available",Contribution list extended to cover the verification experiments added in revision,R31-R37 required actions,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
3.2.1 MentalChat16K Dataset,"(text appended to existing paragraph) The resulting split consists of 12,784 training samples, 1,596 validation sample","No language model is fine-tuned on MentalChat16K in this work: Qwen2.5-3B-Instruct is used zero-shot and is conditioned only through the prompt. The split therefore serves purposes that do not involve language-model training: it keeps the 300-item benchmark inside the held-out test split, it supplies the validation split on which the component-injection thresholds are selected, and it defines the separation checks that the pipeline verifies before generation.",Reviewer noted that the train/validation/test split is misleading if nothing is trained on it,R20 Dataset - unclear data use,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
3.2.1 Evaluation Benchmark and Data Separation,Injection thresholds for emotional/ personality data are obtained from the validation split,"Injection thresholds govern when a predicted emotion or personality signal is written into the prompt at all. Each threshold is set to the quantile of the corresponding classifier's confidence distribution on the MentalChat16K validation split that yields the target injection rate of 0.60, and the benchmark is never used for this selection. This replaces the earlier fixed threshold of 0.35, under which the personality signal was injected in only 1 of the 300 benchmark samples, leaving the personality ablation textually identical to its reference configuration in almost every case.",The term 'injection thresholds' was never explained; the revised procedure is specified,R20 Dataset - unexplained injection thresholds,PsyAdapt_Reviewer_Revision.ipynb,RESOLVED
3.2.3 OCEAN-Chat Dataset,(text appended to existing paragraph) The personality classifier estimates personality-related characteristics from th,"Because the estimate is produced from a single user message, it is weak: the classifier reaches 0.52 accuracy and 0.44 macro-F1 for the primary trait on its held-out test split (Table 11). It is therefore used only as a low-weight stylistic hint, is injected only when its confidence exceeds the validation-selected threshold, and is never presented to the user.",Reviewer required validation numbers for personality inference from one message,R10 Evaluation - unvalidated personality component,tables/component_classifiers.csv,RESOLVED
